  PID   TT  STAT      TIME COMMAND
18835   ??  Ss     0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
18889   ??  S      0:05.83 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
19224   ??  Ss     0:00.53 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
19585   ??  S      0:00.29 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
19586   ??  S      0:00.09 /usr/libexec/secinitd
19588   ??  S      0:00.06 /usr/sbin/cfprefsd agent
19590   ??  S      0:00.17 /usr/libexec/trustd --agent
19591   ??  Ss     0:00.05 /usr/libexec/trustdFileHelper
19593   ??  S      0:00.10 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
19594   ??  S      0:00.31 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
19595   ??  S      0:00.15 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
19596   ??  S      0:00.06 /usr/libexec/secinitd
19597   ??  S      0:00.05 /usr/sbin/cfprefsd agent
19598   ??  S      0:00.11 /usr/libexec/trustd --agent
19599   ??  S      0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
19602   ??  S      0:00.10 /usr/libexec/keyboardservicesd
19634   ??  S      3:35.78 /Applications/WhatsApp.app/Contents/MacOS/WhatsApp
19647   ??  Ss     0:00.16 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
19650   ??  Ss     0:00.02 /System/Library/CoreServices/ReportCrash daemon
19656   ??  Ss     0:14.17 /Applications/WhatsApp.app/Contents/Frameworks/WAAppKitBridge.framework/Versions/A/PlugIns/MacPlugin.bundle/Contents/Frameworks/WAAppKitBridgeServiceHost.framework/Versions/A/XPCServices/WAAppKitBridgeService.xpc/Contents/MacOS/WAAppKitBridgeService XPC_SERVICE_NAME=net.whatsapp.WhatsApp.WAAppKitBridgeService PATH=/usr/bin:/bin:/usr/sbin:/sbin SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.n6IwevA5dS/Listeners HOME=/Users/mahtabshaikh __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0 TMPDIR=/var/folders/dm/6gd037n52yx88hl22w35y2y40000gn/T/ XPC_FLAGS=8019 LOGNAME=mahtabshaikh USER=mahtabshaikh SHELL=/bin/zsh
19736   ??  S      0:00.16 /System/Library/PrivateFrameworks/NewsDaemon.framework/newsd
19741   ??  Ss     0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
19876   ??  S      0:01.14 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
19877   ??  Ss     0:00.46 /usr/libexec/storagekitd
19878   ??  Ss     0:00.06 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
19879   ??  Ss     0:00.05 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
19880   ??  Ss     0:00.04 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedODRService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedODRService
19882   ??  S      0:01.69 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
19885   ??  Ss     0:00.19 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
19886   ??  S      0:00.25 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
19887   ??  S      0:00.31 /usr/libexec/promotedcontentd
19929   ??  Ss     0:02.80 /usr/libexec/fairplaydeviceidentityd
19934   ??  Ss     0:00.07 /usr/libexec/aneuserd
19935   ??  S      0:00.02 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
19936   ??  Ss     0:00.04 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
19937   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
19938   ??  Ss     0:00.16 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
19939   ??  Ss     0:00.06 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
19940   ??  Ss     0:00.09 /usr/libexec/AssetCache/AssetCache
19941   ??  Ss     0:00.03 /usr/libexec/usermanagerd -t 15
19943   ??  Ss     0:00.09 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
19947   ??  Ss     0:00.08 /usr/libexec/mobileactivationd
20000   ??  Ss     0:00.12 /usr/libexec/triald_system
20021   ??  S      0:00.10 /usr/libexec/swtransparencyd
20024   ??  Ss     0:00.06 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
20144   ??  S      0:00.16 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
20147   ??  S      0:00.18 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
20153   ??  S      0:00.90 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
20207   ??  S      0:00.15 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
20208   ??  S      0:00.36 /usr/libexec/appleaccountd
20209   ??  S      0:00.02 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
20629   ??  S      0:12.16 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.111/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2278 --time-ticks-at-unix-epoch=-1771019761922780 --launch-time-ticks=932019796045 --shared-files --metrics-shmem-handle=1752395122,r,9384594510906409816,18370875045737111242,2097152 --field-trial-handle=1718379636,r,2286924953060907690,5648025023147676485,262144 --variations-seed-version=20260223-010031.861000-production --trace-process-track-uuid=3190711120893203516 --seatbelt-client=169
20630   ??  S      0:00.05 /usr/libexec/swcd
20692   ??  Ss     0:00.23 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
20724   ??  S      0:03.23 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.111/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2282 --time-ticks-at-unix-epoch=-1771019761922780 --launch-time-ticks=932053046469 --shared-files --metrics-shmem-handle=1752395122,r,4049514636506597153,14848488378763291561,2097152 --field-trial-handle=1718379636,r,2286924953060907690,5648025023147676485,262144 --variations-seed-version=20260223-010031.861000-production --trace-process-track-uuid=3190711124641370912 --seatbelt-client=175
20849   ??  S      0:08.77 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.111/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2286 --time-ticks-at-unix-epoch=-1771019761922780 --launch-time-ticks=932085379279 --shared-files --metrics-shmem-handle=1752395122,r,13937148947114439232,15599836810117917144,2097152 --field-trial-handle=1718379636,r,2286924953060907690,5648025023147676485,262144 --variations-seed-version=20260223-010031.861000-production --trace-process-track-uuid=3190711128389538308 --seatbelt-client=175
21293   ??  S      0:00.18 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
21294   ??  S      0:00.44 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
21299   ??  S      0:00.09 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
21303   ??  Ss     0:00.08 /System/Library/ExtensionKit/Extensions/PackageThumbnailExtension.appex/Contents/MacOS/PackageThumbnailExtension
21308   ??  S      0:00.15 /usr/libexec/dmd
21309   ??  S      0:00.06 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
21310   ??  Ss     0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
21464   ??  Ss     0:05.55 /usr/libexec/wifivelocityd
22539   ??  Ss     0:00.04 /usr/libexec/logd_helper
23874   ??  Ss     0:01.49 /Library/PrivilegedHelperTools/com.adobe.ARMDC.Communicator
23875   ??  Ss     0:01.73 /Library/PrivilegedHelperTools/com.adobe.ARMDC.SMJobBlessHelper
24357   ??  Ss     0:02.22 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
24463   ??  S     40:41.83 /Applications/Windows App.app/Contents/MacOS/Windows App USER=mahtabshaikh COMMAND_MODE=unix2003 __CFBundleIdentifier=com.microsoft.rdc.macos PATH=/usr/bin:/bin:/usr/sbin:/sbin LOGNAME=mahtabshaikh SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.n6IwevA5dS/Listeners HOME=/Users/mahtabshaikh SHELL=/bin/zsh TMPDIR=/var/folders/dm/6gd037n52yx88hl22w35y2y40000gn/T/ __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0 XPC_SERVICE_NAME=application.com.microsoft.rdc.macos.1768763.1768771 XPC_FLAGS=1
24673   ??  S      0:00.83 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
24674   ??  S      0:00.09 /System/Library/CoreServices/ScopedBookmarkAgent
24807   ??  S      3:33.90 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
24979   ??  S      0:44.22 /usr/libexec/milod
24988   ??  S      0:14.41 /usr/libexec/bluetoothuserd
25715   ??  Ss     0:01.71 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
25741   ??  Ss     0:01.77 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
26552   ??  Ss     0:00.10 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
27001   ??  S      0:02.20 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.111/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2303 --time-ticks-at-unix-epoch=-1771019761922780 --launch-time-ticks=932700006359 --shared-files --metrics-shmem-handle=1752395122,r,14983060937427239163,13798833511674723345,2097152 --field-trial-handle=1718379636,r,2286924953060907690,5648025023147676485,262144 --variations-seed-version=20260223-010031.861000-production --trace-process-track-uuid=3190711144319249741 --seatbelt-client=187
27224   ??  S      0:02.00 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.111/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2304 --time-ticks-at-unix-epoch=-1771019761922780 --launch-time-ticks=932729280397 --shared-files --metrics-shmem-handle=1752395122,r,9410654964318597228,14646758338325073585,2097152 --field-trial-handle=1718379636,r,2286924953060907690,5648025023147676485,262144 --variations-seed-version=20260223-010031.861000-production --trace-process-track-uuid=3190711145256291590 --seatbelt-client=200
27288   ??  S      0:01.91 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
27331   ??  S      0:28.78 /usr/sbin/distnoted agent
27356   ??  S      0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27361   ??  S      0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27379   ??  S      0:00.16 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27614   ??  S      0:00.12 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.111/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2305 --time-ticks-at-unix-epoch=-1771019761922780 --launch-time-ticks=932757074937 --shared-files --metrics-shmem-handle=1752395122,r,5453958889765579897,695626818041665169,2097152 --field-trial-handle=1718379636,r,2286924953060907690,5648025023147676485,262144 --variations-seed-version=20260223-010031.861000-production --trace-process-track-uuid=3190711146193333439 --seatbelt-client=202
27740   ??  S      0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27744   ??  S      0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27838   ??  S      0:00.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27847   ??  S      0:00.11 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27848   ??  S      0:00.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27849   ??  S      0:00.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27850   ??  S      0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27851   ??  S      0:00.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27863   ??  S      0:00.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
27864   ??  S      0:00.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
28121   ??  S      0:00.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
29263   ??  S      0:00.02 /usr/bin/ssh-agent -l
33080   ??  S      0:50.77 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
34100   ??  S     23:55.03 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/MacOS/AdobeAcrobat COMMAND_MODE=unix2003 __CFBundleIdentifier=com.adobe.Acrobat.Pro XPC_SERVICE_NAME=application.com.adobe.Acrobat.Pro.30267087.30278674 SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.n6IwevA5dS/Listeners PATH=/usr/bin:/bin:/usr/sbin:/sbin XPC_FLAGS=1 LOGNAME=mahtabshaikh USER=mahtabshaikh HOME=/Users/mahtabshaikh SHELL=/bin/zsh TMPDIR=/var/folders/dm/6gd037n52yx88hl22w35y2y40000gn/T/
34165   ??  S      0:08.08 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Helpers/AcroCEF/AcroCEF.app/Contents/MacOS/AcroCEF /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Helpers/AcroCEF/AcroCEF.app/Contents/MacOS/AcroCEF --backgroundcolor=16514043 XPC_SERVICE_NAME=com.adobe.acrobat.PrivilegedHelper PATH=/usr/bin:/bin:/usr/sbin:/sbin SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.n6IwevA5dS/Listeners HOME=/Users/mahtabshaikh TMPDIR=/var/folders/dm/6gd037n52yx88hl22w35y2y40000gn/T/ XPC_FLAGS=0x0 LOGNAME=mahtabshaikh USER=mahtabshaikh SHELL=/bin/zsh __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0
34176   ??  S      3:02.01 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Frameworks/AcroCEF Helper (GPU).app/Contents/MacOS/AcroCEF Helper (GPU) --type=gpu-process --log-severity=disable --user-agent-product=ReaderServices/25.1.21223 Chrome/105.0.0.0 --lang=en-US --user-data-dir=/Users/mahtabshaikh/Library/Application Support/Adobe/AcroCef/DC/Acrobat/UserData --gpu-preferences=UAAAAAAAAAAgACAIAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACgFAAAAAAAAKAUAAAAAAAC4AQAANgAAALABAAAAAAAAuAEAAAAAAADAAQAAAAAAAMgBAAAAAAAA0AEAAAAAAADYAQAAAAAAAOABAAAAAAAA6AEAAAAAAADwAQAAAAAAAPgBAAAAAAAAAAIAAAAAAAAIAgAAAAAAABACAAAAAAAAGAIAAAAAAAAgAgAAAAAAACgCAAAAAAAAMAIAAAAAAAA4AgAAAAAAAEACAAAAAAAASAIAAAAAAABQAgAAAAAAAFgCAAAAAAAAYAIAAAAAAABoAgAAAAAAAHACAAAAAAAAeAIAAAAAAACAAgAAAAAAAIgCAAAAAAAAkAIAAAAAAACYAgAAAAAAAKACAAAAAAAAqAIAAAAAAACwAgAAAAAAALgCAAAAAAAAwAIAAAAAAADIAgAAAAAAANACAAAAAAAA2AIAAAAAAADgAgAAAAAAAOgCAAAAAAAA8AIAAAAAAAD4AgAAAAAAAAADAAAAAAAACAMAAAAAAAAQAwAAAAAAABgDAAAAAAAAIAMAAAAAAAAoAwAAAAAAADADAAAAAAAAOAMAAAAAAABAAwAAAAAAAEgDAAAAAAAAUAMAAAAAAABYAwAAAAAAABAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAAAAAAABwAAABAAAAAAAAAAAAAAAAgAAAAQAAAAAAAAAAAAAAAJAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAAAAAAwAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAAAAAAADwAAABAAAAAAAAAAAQAAAAAAAAAQAAAAAAAAAAEAAAAGAAAAEAAAAAAAAAABAAAABwAAABAAAAAAAAAAAQAAAAgAAAAQAAAAAAAAAAEAAAAJAAAAEAAAAAAAAAABAAAACwAAABAAAAAAAAAAAQAAAAwAAAAQAAAAAAAAAAEAAAAOAAAAEAAAAAAAAAABAAAADwAAABAAAAAAAAAABAAAAAAAAAAQAAAAAAAAAAQAAAAGAAAAEAAAAAAAAAAEAAAABwAAABAAAAAAAAAABAAAAAgAAAAQAAAAAAAAAAQAAAAJAAAAEAAAAAAAAAAEAAAACwAAABAAAAAAAAAABAAAAAwAAAAQAAAAAAAAAAQAAAAOAAAAEAAAAAAAAAAEAAAADwAAABAAAAAAAAAABwAAAAAAAAAQAAAAAAAAAAcAAAAGAAAAEAAAAAAAAAAHAAAABwAAABAAAAAAAAAABwAAAAgAAAAQAAAAAAAAAAcAAAAJAAAAEAAAAAAAAAAHAAAACwAAABAAAAAAAAAABwAAAAwAAAAQAAAAAAAAAAcAAAAOAAAAEAAAAAAAAAAHAAAADwAAABAAAAAAAAAACAAAAAAAAAAQAAAAAAAAAAgAAAAGAAAAEAAAAAAAAAAIAAAABwAAABAAAAAAAAAACAAAAAgAAAAQAAAAAAAAAAgAAAAJAAAAEAAAAAAAAAAIAAAACwAAABAAAAAAAAAACAAAAAwAAAAQAAAAAAAAAAgAAAAOAAAAEAAAAAAAAAAIAAAADwAAABAAAAAAAAAACgAAAAAAAAAQAAAAAAAAAAoAAAAGAAAAEAAAAAAAAAAKAAAABwAAABAAAAAAAAAACgAAAAgAAAAQAAAAAAAAAAoAAAAJAAAAEAAAAAAAAAAKAAAACwAAABAAAAAAAAAACgAAAAwAAAAQAAAAAAAAAAoAAAAOAAAAEAAAAAAAAAAKAAAADwAAAAgAAAAAAAAACAAAAAAAAAA= --log-file=/Users/mahtabshaikh/Library/Logs/AcroCEF_debug.log --shared-files --field-trial-handle=1718379636,r,9159864083125254790,15259174094788346035,131072 --disable-features=BackForwardCache --seatbelt-client=19 XPC_SERVICE_NAME=com.adobe.acrobat.PrivilegedHelper PATH=/usr/bin:/bin:/usr/sbin:/sbin SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.n6IwevA5dS/Listeners HOME=/Users/mahtabshaikh TMPDIR=/var/folders/dm/6gd037n52yx88hl22w35y2y40000gn/T/ XPC_FLAGS=0x0 LOGNAME=mahtabshaikh USER=mahtabshaikh SHELL=/bin/zsh __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0 OS_ACTIVITY_MODE=disable
34185   ??  S      0:00.71 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Frameworks/AcroCEF Helper.app/Contents/MacOS/AcroCEF Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=network --use-mock-keychain --log-severity=disable --user-agent-product=ReaderServices/25.1.21223 Chrome/105.0.0.0 --lang=en-US --user-data-dir=/Users/mahtabshaikh/Library/Application Support/Adobe/AcroCef/DC/Acrobat/UserData --log-file=/Users/mahtabshaikh/Library/Logs/AcroCEF_debug.log --shared-files --field-trial-handle=1718379636,r,9159864083125254790,15259174094788346035,131072 --disable-features=BackForwardCache --seatbelt-client=29 XPC_SERVICE_NAME=com.adobe.acrobat.PrivilegedHelper PATH=/usr/bin:/bin:/usr/sbin:/sbin SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.n6IwevA5dS/Listeners HOME=/Users/mahtabshaikh TMPDIR=/var/folders/dm/6gd037n52yx88hl22w35y2y40000gn/T/ XPC_FLAGS=0x0 LOGNAME=mahtabshaikh USER=mahtabshaikh SHELL=/bin/zsh __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0 OS_ACTIVITY_MODE=disable
34192   ??  S      4:24.10 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Helpers/AdobeResourceSynchronizer.app/Contents/MacOS/AdobeResourceSynchronizer -c USER=mahtabshaikh COMMAND_MODE=unix2003 __CFBundleIdentifier=com.adobe.AdobeResourceSynchronizer PATH=/usr/bin:/bin:/usr/sbin:/sbin LOGNAME=mahtabshaikh SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.n6IwevA5dS/Listeners HOME=/Users/mahtabshaikh SHELL=/bin/zsh TMPDIR=/var/folders/dm/6gd037n52yx88hl22w35y2y40000gn/T/ __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0 XPC_SERVICE_NAME=application.com.adobe.AdobeResourceSynchronizer.30277474.30278620 XPC_FLAGS=1
34207   ??  S      0:00.45 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Frameworks/AcroCEF Helper.app/Contents/MacOS/AcroCEF Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --use-mock-keychain --log-severity=disable --user-agent-product=ReaderServices/25.1.21223 Chrome/105.0.0.0 --lang=en-US --user-data-dir=/Users/mahtabshaikh/Library/Application Support/Adobe/AcroCef/DC/Acrobat/UserData --log-file=/Users/mahtabshaikh/Library/Logs/AcroCEF_debug.log --shared-files --field-trial-handle=1718379636,r,9159864083125254790,15259174094788346035,131072 --disable-features=BackForwardCache --seatbelt-client=30 XPC_SERVICE_NAME=com.adobe.acrobat.PrivilegedHelper PATH=/usr/bin:/bin:/usr/sbin:/sbin SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.n6IwevA5dS/Listeners HOME=/Users/mahtabshaikh TMPDIR=/var/folders/dm/6gd037n52yx88hl22w35y2y40000gn/T/ XPC_FLAGS=0x0 LOGNAME=mahtabshaikh USER=mahtabshaikh SHELL=/bin/zsh __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0 OS_ACTIVITY_MODE=disable
34208   ??  S      0:00.90 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Frameworks/AcroCEF Helper (Renderer).app/Contents/MacOS/AcroCEF Helper (Renderer) --type=renderer --log-severity=disable --user-agent-product=ReaderServices/25.1.21223 Chrome/105.0.0.0 --user-data-dir=/Users/mahtabshaikh/Library/Application Support/Adobe/AcroCef/DC/Acrobat/UserData --first-renderer-process --autoplay-policy=no-user-gesture-required --log-file=/Users/mahtabshaikh/Library/Logs/AcroCEF_debug.log --touch-events=enabled --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=5 --launch-time-ticks=833648535600 --shared-files --field-trial-handle=1718379636,r,9159864083125254790,15259174094788346035,131072 --disable-features=BackForwardCache --seatbelt-client=30 XPC_SERVICE_NAME=com.adobe.acrobat.PrivilegedHelper PATH=/usr/bin:/bin:/usr/sbin:/sbin SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.n6IwevA5dS/Listeners HOME=/Users/mahtabshaikh TMPDIR=/var/folders/dm/6gd037n52yx88hl22w35y2y40000gn/T/ XPC_FLAGS=0x0 LOGNAME=mahtabshaikh USER=mahtabshaikh SHELL=/bin/zsh __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0 OS_ACTIVITY_MODE=disable
